"Year","LGA","Contamination_rate"
"2009","Glenelg",30.92
"2009","Golden Plains",9.1
"2009","Greater Bendigo",6.32
"2009","Greater Dandenong",16.42
"2009","Greater Geelong",10
"2009","Greater Shepparton",2.17
"2009","Hepburn",10.82
"2009","Hindmarsh",5.26
"2009","Hobsons Bay",3.1
"2009","Horsham",19.47
"2009","Hume",12.23
"2009","Indigo",1.16
"2009","Kingston",5
"2009","Knox",4.61
"2009","Latrobe",10
"2009","Loddon",10
"2009","Macedon Ranges",10
"2009","Manningham",0
"2009","Mansfield",10.16
"2009","Maribyrnong",16.39
"2009","Maroondah",5.3
"2009","Melbourne",10
"2009","Melton",8
"2009","Mildura",25.49
"2009","Mitchell",10.19
"2009","Moira",13
"2009","Monash",1.66
"2009","Moonee Valley",10.8
"2009","Moorabool",4.35
"2009","Moreland",9
"2009","Mornington Peninsula",10
"2009","Mount Alexander",5
"2009","Moyne",1.52
"2009","Murrindindi",3.96
"2009","Nillumbik",8
"2009","Northern Grampians",16.67
"2009","Port Phillip",8.6
"2009","Pyrenees",9.02
"2009","Queenscliffe",4.5
"2009","South Gippsland",4.6
"2009","Southern Grampians",3.95
"2009","Stonnington",3.41
"2009","Strathbogie",6.92
"2009","Surf Coast",7.65
"2009","Swan Hill",11.63
"2009","Towong",13.35
"2009","Wangaratta",12.33
"2009","Warrnambool",14
"2009","Wellington",22
"2009","West Wimmera",1.37
"2009","Whitehorse",4
"2009","Whittlesea",10.88
"2009","Wodonga",9.75
"2009","Wyndham",7.6
"2009","Yarra",8.55
"2009","Yarra Ranges",13.78
"2009","Yarriambiack",1.79
"2010","Alpine",27.4
"2010","Ararat",10.06
"2010","Ballarat",9.53
"2010","Banyule",8.55
"2010","Bass Coast",19.61
"2010","Baw Baw",8.24
"2010","Bayside",0
"2010","Benalla",11.02
"2010","Boroondara",0
"2010","Brimbank",14
"2010","Buloke",4.97
"2010","Campaspe",11.14
"2010","Cardinia",21.57
"2010","Casey",13.5
"2010","Central Goldfields",5
"2010","Colac Otway",6.45
"2010","Corangamite",8.98
"2010","Darebin",15.7
"2010","East Gippsland",24.55
"2010","Frankston",9.74
"2010","Gannawarra",0
"2010","Glen Eira",3
"2010","Glenelg",34.19
"2010","Golden Plains",9.86
"2010","Greater Bendigo",8.54
"2010","Greater Dandenong",1.01
"2010","Greater Geelong",8
"2010","Greater Shepparton",0
"2010","Hepburn",11.31
"2010","Hindmarsh",2.42
"2010","Hobsons Bay",3.1
"2010","Horsham",22.21
"2010","Hume",13.16
"2010","Indigo",0
"2010","Kingston",5
"2010","Knox",5.45
"2010","Latrobe",13.25
"2010","Loddon",0
"2010","Macedon Ranges",10
"2010","Manningham",0
"2010","Mansfield",11.89
"2010","Maribyrnong",20.99
"2010","Maroondah",5.31
"2010","Melbourne",9.94
"2010","Melton",9.3
"2010","Mildura",16.73
"2010","Mitchell",6.69
"2010","Moira",0
"2010","Monash",0
"2010","Moonee Valley",10.01
"2010","Moorabool",4
"2010","Moreland",0
"2010","Mornington Peninsula",0
"2010","Mount Alexander",5
"2010","Moyne",9.03
"2010","Murrindindi",2.28
"2010","Nillumbik",8.01
"2010","Northern Grampians",10.07
"2010","Port Phillip",2.71
"2010","Pyrenees",11.11
"2010","Queenscliffe",0
"2010","South Gippsland",8
"2010","Southern Grampians",4.73
"2010","Stonnington",3.97
"2010","Strathbogie",0
"2010","Surf Coast",0
"2010","Swan Hill",7.56
"2010","Towong",21.19
"2010","Wangaratta",10.02
"2010","Warrnambool",14
"2010","Wellington",20.31
"2010","West Wimmera",0.75
"2010","Whitehorse",9.2
"2010","Whittlesea",9.98
"2010","Wodonga",12.59
"2010","Wyndham",7.6
"2010","Yarra",4.38
"2010","Yarra Ranges",11.5
"2010","Yarriambiack",1.66
"2011","Alpine",29.57
"2011","Ararat",9.98
"2011","Ballarat",4.12
"2011","Banyule",8.56
"2011","Bass Coast",24.61
"2011","Baw Baw",8.01
"2011","Bayside",0
"2011","Benalla",10
"2011","Boroondara",0
"2011","Brimbank",15
"2011","Buloke",4.97
"2011","Campaspe",11.32
"2011","Cardinia",17.2
"2011","Casey",7
"2011","Central Goldfields",5
"2011","Colac Otway",0
"2011","Corangamite",14.94
"2011","Darebin",17.17
"2011","East Gippsland",14.14
"2011","Frankston",18.53
"2011","Gannawarra",0
"2011","Glen Eira",0
"2011","Glenelg",34.24
"2011","Golden Plains",6.54
"2011","Greater Bendigo",8.73
"2011","Greater Dandenong",5
"2011","Greater Geelong",7
"2011","Greater Shepparton",0
"2011","Hepburn",0
"2011","Hindmarsh",11.02
"2011","Hobsons Bay",3.1
"2011","Horsham",10.53
"2011","Hume",13.15
"2011","Indigo",3.56
"2011","Kingston",5
"2011","Knox",8.9
"2011","Latrobe",18.97
"2011","Loddon",0
"2011","Macedon Ranges",0
"2011","Manningham",0
"2011","Mansfield",11.23
"2011","Maribyrnong",20.98
"2011","Maroondah",9
"2011","Melbourne",9.99
"2011","Melton",4.26
"2011","Mildura",21.37
"2011","Mitchell",0
"2011","Moira",0
"2011","Monash",4
"2011","Moonee Valley",9.99
"2011","Moorabool",3
"2011","Moreland",2.86
"2011","Mornington Peninsula",7
"2011","Mount Alexander",5.06
"2011","Moyne",7.08
"2011","Murrindindi",2.29
"2011","Nillumbik",12
"2011","Northern Grampians",15.66
"2011","Port Phillip",11
"2011","Pyrenees",10.17
"2011","Queenscliffe",0
"2011","South Gippsland",8.18
"2011","Southern Grampians",14.97
"2011","Stonnington",2.92
"2011","Strathbogie",0
"2011","Surf Coast",0
"2011","Swan Hill",7.8
"2011","Towong",8.05
"2011","Wangaratta",9.29
"2011","Warrnambool",13.22
"2011","Wellington",6.13
"2011","West Wimmera",0.31
"2011","Whitehorse",8.4
"2011","Whittlesea",13.15
"2011","Wodonga",18.98
"2011","Wyndham",10.7
"2011","Yarra",4.85
"2011","Yarra Ranges",12.24
"2011","Yarriambiack",1.26
"2012","Alpine",27.09
"2012","Ararat",25
"2012","Ballarat",16
"2012","Banyule",7.74
"2012","Bass Coast",29.42
"2012","Baw Baw",6.15
"2012","Bayside",0
"2012","Benalla",10.81
"2012","Boroondara",0
"2012","Brimbank",13
"2012","Buloke",0
"2012","Campaspe",0
"2012","Cardinia",0
"2012","Casey",7.42
"2012","Central Goldfields",5
"2012","Colac Otway",0
"2012","Corangamite",14.97
"2012","Darebin",0
"2012","East Gippsland",18.11
"2012","Frankston",8.51
"2012","Gannawarra",7.53
"2012","Glen Eira",0
"2012","Glenelg",22.12
"2012","Golden Plains",6.53
"2012","Greater Bendigo",8.64
"2012","Greater Dandenong",5
"2012","Greater Geelong",7
"2012","Greater Shepparton",0
"2012","Hepburn",21.18
"2012","Hindmarsh",2.19
"2012","Hobsons Bay",0
"2012","Horsham",9.64
"2012","Hume",19.75
"2012","Indigo",0
"2012","Kingston",5.39
"2012","Knox",6.91
"2012","Latrobe",7.41
"2012","Loddon",3.33
"2012","Macedon Ranges",8.02
"2012","Manningham",0
"2012","Mansfield",8.56
"2012","Maribyrnong",0
"2012","Maroondah",6.07
"2012","Melbourne",9.57
"2012","Melton",8
"2012","Mildura",0
"2012","Mitchell",0
"2012","Moira",0
"2012","Monash",2.92
"2012","Moonee Valley",18.03
"2012","Moorabool",8
"2012","Moreland",14.11
"2012","Mornington Peninsula",0
"2012","Mount Alexander",4.99
"2012","Moyne",9.82
"2012","Murrindindi",1.95
"2012","Nillumbik",12
"2012","Northern Grampians",12
"2012","Port Phillip",10.3
"2012","Pyrenees",10
"2012","Queenscliffe",0
"2012","South Gippsland",8
"2012","Southern Grampians",18.21
"2012","Stonnington",3
"2012","Strathbogie",0
"2012","Surf Coast",0
"2012","Swan Hill",33.24
"2012","Towong",8.05
"2012","Wangaratta",6.27
"2012","Warrnambool",15.01
"2012","Wellington",0
"2012","West Wimmera",0
"2012","Whitehorse",8.39
"2012","Whittlesea",12.7
"2012","Wodonga",17.4
"2012","Wyndham",1.32
"2012","Yarra",8.01
"2012","Yarra Ranges",8.34
"2012","Yarriambiack",1.49
"2013","Alpine",4.09
"2013","Ararat",4.99
"2013","Ballarat",15.92
"2013","Banyule",6.73
"2013","Bass Coast",35.16
